ans_load1,ans_load2,ans_load3,ans_ele,ans_gas,ans_planning
0,0,0,123.4886949,105.6226818,0
0,0,0,111.9611034,105.3996139,0
0,0,0,137.9303774,107.6094443,0
0,0,0,112.0986457,112.9976645,0
0,0,0,99.24004053,116.0452147,0
0,0,0,79.2274926,114.8240911,0
0,0,0,93.03930143,111.7784107,0
0,0,0,43.77298997,199.9816354,0
0,0,0,84.62023801,192.0575936,0
0,0,0,84.62697074,186.8062793,0
0,0,0,71.51738502,168.5845883,0
0,0,0,57.91203856,162.6914983,0
0,0,0,36.56233228,153.54428,0
0,0,0,17.69560036,127.7584153,0
0,0,0,37.62079847,137.6891731,0
0,0,0,48.90412294,145.2650389,0
0,0,0,88.19596313,169.0845838,0
0,0,0,119.231349,172.3139355,0
0,0,0,142.0713141,178.5552632,0
0,0,0,129.1173661,171.0709794,0
0,0,0,103.9805878,229.9046693,0
0,0,0,82.52633871,229.4945646,0
0,0,0,85.90649063,225.9185285,0
0,0,0,175.0695394,86.7842919,0
0,0,0,141.8298137,87.84788435,0
0,0,0,144.8888389,88.38059211,0
0,0,0,139.3727411,89.0758795,0
0,0,0,141.0956482,89.18774065,0
0,0,0,139.8063128,88.28457756,0
0,0,0,133.447981,87.32934037,0
0,0,0,146.0640976,86.08353532,0
0,0,0,103.4895451,170.5943614,0
0,0,0,104.8427283,163.9574261,0
0,0,0,101.2416064,160.5408752,0
0,0,0,70.86775613,149.303271,0
0,0,0,66.38258068,129.4852484,0
0,0,0,42.76433232,129.3908775,0
0,0,0,29.90246014,124.2462448,0
0,0,0,48.2474703,136.2218484,0
0,0,0,69.61421313,143.5202539,0
0,0,0,94.32871247,144.0006583,0
0,0,0,123.242175,183.0203695,0
0,0,0,132.2708969,190.6559351,0
0,0,0,124.3996898,189.6317352,0
0,0,0,93.35621095,238.067635,0
0,0,0,97.17093805,242.0207791,0
0,0,0,88.96516412,244.9155194,0
0,0,0,176.7879769,101.5036859,0
0,0,0,153.3591693,102.5390911,0
0,0,0,160.0862473,104.0726125,0
0,0,0,147.701351,107.5725156,0
0,0,0,162.5995949,112.1729865,0
0,0,0,146.3935056,116.4696139,0
0,0,0,146.6193734,119.4732237,0
0,0,0,147.6532466,120.9090478,0
0,0,0,108.26266,221.8870924,0
0,0,0,108.4417983,209.4453864,0
0,0,0,108.8464213,202.5748495,0
0,0,0,79.57323994,171.3407292,0
0,0,0,59.45798763,162.9267925,0
0,0,0,46.03454372,147.8361899,0
0,0,0,43.43634603,145.8304274,0
0,0,0,55.78986326,156.2080057,0
0,0,0,57.47515188,154.2061478,0
0,0,0,96.49428248,187.2785196,0
0,0,0,126.3858695,197.7174122,0
0,0,0,150.1466767,200.0821423,0
0,0,0,143.9367756,192.8239417,0
0,0,0,113.1962744,243.4871278,0
0,0,0,105.9463656,245.8016672,0
0,0,0,109.0439596,247.1349325,0
0,0,0,185.6292396,104.9235613,0
0,0,0,152.7953463,106.8387102,0
